website,date,year,month,device,channel_group,active_users,new_users,sessions,sessions_per_user,screen_page_views,engaged_sessions,user_engagement_duration,average_session_duration,engagement_rate,new_users_ratio
WEB_01,01/01/2024,2024,1,desktop,Organic Search,4840,4684,5702,1.178099174,28,3840,2664317,418.1517011,0.673447913,0.967768595
WEB_01,01/01/2024,2024,1,mobile,Organic Search,4162,4126,4604,1.106198943,46,3144,2293949,366.5851133,0.682884448,0.991350312
WEB_01,01/01/2024,2024,1,desktop,Direct,1292,1272,1402,1.085139319,2,406,201888,331.5820907,0.289586305,0.984520124
WEB_01,01/01/2024,2024,1,mobile,Direct,268,268,322,1.201492537,2,106,66816,309.6192095,0.329192547,1
WEB_01,01/01/2024,2024,1,tablet,Organic Search,152,142,164,1.078947368,0,112,94392,399.9165801,0.682926829,0.934210526
WEB_01,01/01/2024,2024,1,desktop,Referral,146,110,376,2.575342466,524,270,190080,451.7681844,0.718085106,0.753424658
WEB_01,01/01/2024,2024,1,mobile,Organic Social,12,12,12,1,0,2,230,272.9025325,0.166666667,1
WEB_01,01/01/2024,2024,1,tablet,Direct,12,12,16,1.333333333,0,10,5746,368.7745641,0.625,1
WEB_01,01/01/2024,2024,1,mobile,Referral,8,6,32,4,0,22,7445,345.1909078,0.6875,0.75
WEB_01,01/01/2024,2024,1,tablet,Referral,8,6,12,1.5,0,10,4939,352.2276358,0.833333333,0.75
WEB_01,01/01/2024,2024,1,desktop,Unassigned,4,4,6,1.5,0,2,2995,344.3269629,0.333333333,1
WEB_01,01/01/2024,2024,1,mobile,Unassigned,4,4,4,1,0,2,922,326.5893741,0.5,1
WEB_01,01/01/2024,2024,1,desktop,Organic Social,2,2,2,1,0,1,216,360.72677,0.5,1
WEB_01,01/01/2024,2024,1,tablet,Organic Social,2,2,4,2,0,2,216,308.261673,0.5,1
WEB_01,01/02/2024,2024,2,desktop,Organic Search,3788,3620,4728,1.248152059,138,3018,1853424,251.355028,0.638324873,0.955649419
WEB_01,01/02/2024,2024,2,mobile,Organic Search,2408,2362,2682,1.113787375,12,1810,1299341,422.8637869,0.6748695,0.98089701
WEB_01,01/02/2024,2024,2,desktop,Direct,1496,1472,1614,1.078877005,270,326,166853,398.4179103,0.201982652,0.983957219
WEB_01,01/02/2024,2024,2,mobile,Direct,204,202,238,1.166666667,0,70,35078,485.7457252,0.294117647,0.990196078
